case_id,dtype,layout,m,n,k,groups,group_lengths,variable_capacity,allow_empty_groups,backend,blas_streams,warmup,samples,correctness_repeats
uniform_fp16_nt_g4,fp16,NT,256,256,256,4,,,0,both,1,2,5,1
ragged_bf16_nn_compact,bf16,NN,129,256,256,,65;0;127;129,321,1,both,4,2,5,1
ragged_bf16_tn_padded,bf16,TN,256,256,129,,65;0;127;129,512,1,both,4,2,5,1
matrix_0001_fp16_tn_g16_m4096_n7168_k2120_c32757,fp16,TN,4096,7168,2120,16,2102;2120;2108;2092;2079;2047;1966;2048;2015;2006;2017;2014;2050;2079;2008;2006,32757,1,both,4,10,30,3
matrix_0002_fp16_tn_g16_m4096_n7168_k2120_c65536,fp16,TN,4096,7168,2120,16,2102;2120;2108;2092;2079;2047;1966;2048;2015;2006;2017;2014;2050;2079;2008;2006,65536,1,both,4,10,30,3
matrix_0003_fp16_nn_g16_m2120_n7168_k4096_c32757,fp16,NN,2120,7168,4096,16,2102;2120;2108;2092;2079;2047;1966;2048;2015;2006;2017;2014;2050;2079;2008;2006,32757,1,both,4,10,30,3
matrix_0004_fp16_nn_g16_m2120_n7168_k4096_c65536,fp16,NN,2120,7168,4096,16,2102;2120;2108;2092;2079;2047;1966;2048;2015;2006;2017;2014;2050;2079;2008;2006,65536,1,both,4,10,30,3
matrix_0005_fp16_tn_g16_m7168_n2048_k2120_c32757,fp16,TN,7168,2048,2120,16,2102;2120;2108;2092;2079;2047;1966;2048;2015;2006;2017;2014;2050;2079;2008;2006,32757,1,both,4,10,30,3
matrix_0006_fp16_tn_g16_m7168_n2048_k2120_c65536,fp16,TN,7168,2048,2120,16,2102;2120;2108;2092;2079;2047;1966;2048;2015;2006;2017;2014;2050;2079;2008;2006,65536,1,both,4,10,30,3
matrix_0007_fp16_nt_g16_m2120_n4096_k7168_c32757,fp16,NT,2120,4096,7168,16,2102;2120;2108;2092;2079;2047;1966;2048;2015;2006;2017;2014;2050;2079;2008;2006,32757,1,both,4,10,30,3
matrix_0008_fp16_nt_g16_m2120_n4096_k7168_c65536,fp16,NT,2120,4096,7168,16,2102;2120;2108;2092;2079;2047;1966;2048;2015;2006;2017;2014;2050;2079;2008;2006,65536,1,both,4,10,30,3
matrix_0009_fp16_nt_g16_m2120_n7168_k2048_c32757,fp16,NT,2120,7168,2048,16,2102;2120;2108;2092;2079;2047;1966;2048;2015;2006;2017;2014;2050;2079;2008;2006,32757,1,both,4,10,30,3
matrix_0010_fp16_nt_g16_m2120_n7168_k2048_c65536,fp16,NT,2120,7168,2048,16,2102;2120;2108;2092;2079;2047;1966;2048;2015;2006;2017;2014;2050;2079;2008;2006,65536,1,both,4,10,30,3
matrix_0011_fp16_nn_g16_m2120_n2048_k7168_c32757,fp16,NN,2120,2048,7168,16,2102;2120;2108;2092;2079;2047;1966;2048;2015;2006;2017;2014;2050;2079;2008;2006,32757,1,both,4,10,30,3
matrix_0012_fp16_nn_g16_m2120_n2048_k7168_c65536,fp16,NN,2120,2048,7168,16,2102;2120;2108;2092;2079;2047;1966;2048;2015;2006;2017;2014;2050;2079;2008;2006,65536,1,both,4,10,30,3
matrix_0013_bf16_tn_g16_m4096_n7168_k2120_c32757,bf16,TN,4096,7168,2120,16,2102;2120;2108;2092;2079;2047;1966;2048;2015;2006;2017;2014;2050;2079;2008;2006,32757,1,both,4,10,30,3
matrix_0014_bf16_tn_g16_m4096_n7168_k2120_c65536,bf16,TN,4096,7168,2120,16,2102;2120;2108;2092;2079;2047;1966;2048;2015;2006;2017;2014;2050;2079;2008;2006,65536,1,both,4,10,30,3
matrix_0015_bf16_nn_g16_m2120_n7168_k4096_c32757,bf16,NN,2120,7168,4096,16,2102;2120;2108;2092;2079;2047;1966;2048;2015;2006;2017;2014;2050;2079;2008;2006,32757,1,both,4,10,30,3
matrix_0016_bf16_nn_g16_m2120_n7168_k4096_c65536,bf16,NN,2120,7168,4096,16,2102;2120;2108;2092;2079;2047;1966;2048;2015;2006;2017;2014;2050;2079;2008;2006,65536,1,both,4,10,30,3
